,natureza_acidente,bairro,tipo,condicao_via,dia_da_semana,mes,hora_bruta
1452,0,23,1,4,0,5,7
1453,1,40,0,4,0,5,8
1454,1,31,8,4,0,5,9
1455,1,24,0,4,0,5,11
1456,0,64,1,4,0,5,13
1457,0,64,3,4,0,5,17
1458,1,73,0,4,0,5,17
1459,1,39,0,4,1,5,6
1460,0,1,0,4,1,5,7
1461,1,49,0,4,1,5,7
1462,1,81,0,4,1,5,8
1463,1,40,1,4,1,5,8
1464,0,51,3,4,1,5,10
1465,0,1,1,4,1,5,10
1466,1,58,12,4,1,5,12
1467,1,34,1,4,1,5,13
1468,1,1,12,4,1,5,14
1469,1,12,12,4,1,5,14
1470,1,9,0,4,1,5,14
1471,2,92,3,4,1,5,14
1472,1,86,12,4,1,5,15
1473,0,69,0,4,1,5,17
1474,0,12,1,4,2,5,5
1475,1,66,0,4,2,5,7
1476,0,8,8,0,2,5,9
1477,0,13,12,4,2,5,11
1478,0,78,0,4,2,5,12
1479,0,42,8,4,2,5,13
1480,0,13,0,4,2,5,15
1481,0,8,0,4,2,5,15
1482,0,1,3,4,2,5,17
1483,1,4,0,4,2,5,18
1484,0,78,3,4,2,5,19
1485,0,11,1,4,2,5,22
1486,0,39,8,4,3,5,7
1487,1,58,1,4,3,5,7
1488,1,8,0,4,3,5,9
1489,1,74,12,4,3,5,9
1490,1,27,1,4,3,5,11
1491,1,13,12,4,3,5,13
1492,1,11,0,4,3,5,16
1493,1,58,0,4,3,5,18
1494,1,22,1,4,3,5,20
1495,0,36,11,4,4,5,6
1496,0,34,0,4,4,5,11
1497,0,78,8,4,4,5,7
1498,1,0,12,4,4,5,9
1499,0,34,1,4,4,5,9
1500,0,57,0,4,4,5,10
1501,1,49,12,4,4,5,11
1502,0,69,12,4,4,5,12
1503,0,58,1,4,4,5,13
1504,0,79,0,4,4,5,15
1505,0,73,11,4,4,5,16
1506,0,12,0,4,4,5,18
1507,1,78,12,4,4,5,21
1508,0,58,0,4,4,5,22
1509,0,12,1,4,5,5,0
1510,0,84,0,4,5,5,0
1511,1,23,8,4,5,5,8
1512,0,39,0,4,5,5,9
1513,0,32,0,4,5,5,11
1514,0,22,0,4,5,5,12
1515,1,45,12,4,5,5,12
1516,1,84,12,4,5,5,12
1517,1,90,12,4,5,5,13
1518,1,75,1,4,5,5,13
1519,0,23,1,4,5,5,13
1520,1,53,0,4,5,5,15
1521,1,31,8,4,5,5,16
1522,1,49,12,4,5,5,16
1523,0,31,0,4,5,5,20
1524,0,9,7,4,5,5,23
1525,1,12,12,4,6,5,5
1526,0,23,0,4,6,5,10
1527,0,79,1,4,6,5,14
1528,0,1,10,4,6,5,15
1529,1,46,0,4,6,5,16
1530,0,74,1,4,6,5,19
1531,1,69,1,4,6,5,19
1532,1,35,12,4,0,5,6
1533,1,50,1,4,0,5,7
1534,1,66,0,4,0,5,7
1535,1,51,12,4,0,5,7
1536,1,58,12,4,0,5,8
1537,1,50,12,0,0,5,8
1538,1,90,0,4,0,5,9
1539,1,39,1,4,0,5,10
1540,0,73,12,4,0,5,10
1541,0,50,0,4,0,5,11
1542,1,40,12,4,0,5,12
1543,1,85,0,4,0,5,12
1544,1,50,0,4,0,5,15
1545,0,49,14,0,0,5,16
1546,0,78,12,0,0,5,16
1547,1,1,0,0,0,5,18
1548,2,57,3,0,0,5,19
1549,0,78,14,0,1,5,8
1550,1,84,0,4,1,5,8
1551,0,75,1,4,1,5,9
1552,1,60,0,4,1,5,10
1553,1,83,0,0,1,5,12
1554,0,81,10,4,1,5,13
1555,1,50,1,4,1,5,14
1556,1,26,8,4,1,5,18
1557,1,12,7,4,2,5,4
1558,0,12,12,4,2,5,6
1559,0,48,12,4,2,5,7
1560,1,45,0,4,2,5,8
1561,1,74,12,4,2,5,9
1562,0,12,1,4,2,5,11
1563,0,49,8,4,2,5,12
1564,1,23,1,4,2,5,13
1565,0,49,0,4,2,5,14
1566,0,50,1,4,2,5,15
1567,1,92,0,4,2,5,15
1568,1,49,1,4,2,5,18
1569,0,49,3,4,2,5,19
1570,1,1,0,4,2,5,22
1571,0,81,0,4,3,5,9
1572,0,12,12,4,3,5,11
1573,0,23,1,4,3,5,12
1574,0,85,0,4,3,5,12
1575,0,78,11,4,3,5,13
1576,0,49,10,4,3,5,13
1577,1,12,0,4,3,5,14
1578,1,78,12,4,3,5,16
1579,1,37,0,4,3,5,17
1580,1,67,12,4,3,5,17
1581,1,12,0,4,3,5,18
1582,0,31,12,4,3,5,22
1583,1,12,1,4,3,5,23
1584,1,34,1,4,4,5,5
1585,0,40,1,4,4,5,8
1586,0,90,1,4,4,5,11
1587,0,53,0,4,4,5,12
1588,1,48,12,4,4,5,12
1589,1,49,1,4,4,5,12
1590,1,47,12,4,4,5,13
1591,1,1,0,4,4,5,15
1592,1,69,0,4,4,5,16
1593,0,31,10,4,4,5,17
1594,1,9,1,4,5,5,1
1595,1,69,0,4,5,5,10
1596,0,49,0,4,5,5,14
1597,0,53,0,4,5,5,14
1598,1,12,0,4,5,5,14
1599,0,49,3,4,5,5,16
1600,1,78,0,4,5,5,17
1601,0,81,9,4,5,5,18
1602,0,49,3,4,5,5,18
