,natureza_acidente,bairro,tipo,dia_da_semana,mes,ano,hora_bruta
373,1,12,9,0,1,2018,7
374,1,85,2,0,1,2018,7
375,1,34,9,0,1,2018,8
376,1,7,9,0,1,2018,8
377,0,10,9,0,1,2018,8
378,1,90,9,0,1,2018,8
379,0,25,9,0,1,2018,9
380,1,40,9,0,1,2018,9
381,1,66,9,0,1,2018,11
382,0,45,9,0,1,2018,11
383,1,42,9,0,1,2018,11
384,1,78,9,0,1,2018,12
385,1,12,13,0,1,2018,12
386,0,39,2,0,1,2018,13
387,1,0,9,0,1,2018,14
388,1,35,9,0,1,2018,14
389,1,69,9,0,1,2018,14
390,0,37,2,0,1,2018,15
391,1,7,9,0,1,2018,15
392,1,60,9,0,1,2018,15
393,1,15,9,0,1,2018,15
394,1,75,9,0,1,2018,15
395,1,39,9,0,1,2018,15
396,1,1,9,0,1,2018,16
397,1,12,9,0,1,2018,16
398,1,45,9,0,1,2018,16
399,1,12,9,0,1,2018,16
400,1,15,9,0,1,2018,16
401,0,50,9,0,1,2018,16
402,1,37,9,0,1,2018,17
403,1,85,9,0,1,2018,17
404,1,67,10,0,1,2018,17
405,1,79,9,0,1,2018,17
406,1,1,9,0,1,2018,18
407,0,58,10,0,1,2018,18
408,1,1,9,0,1,2018,18
409,1,25,9,0,1,2018,18
410,1,23,9,0,1,2018,19
411,0,58,9,0,1,2018,20
412,1,50,9,0,1,2018,20
413,0,6,9,0,1,2018,20
414,1,34,9,0,1,2018,22
415,0,75,9,1,1,2018,6
416,1,50,9,1,1,2018,7
417,1,75,9,1,1,2018,7
418,1,34,9,1,1,2018,7
419,1,13,9,1,1,2018,7
420,1,34,9,1,1,2018,8
421,1,79,9,1,1,2018,8
422,1,47,9,1,1,2018,8
423,1,64,9,1,1,2018,8
424,1,1,9,1,1,2018,9
425,1,58,9,1,1,2018,9
426,1,34,9,1,1,2018,10
427,1,12,9,1,1,2018,10
428,1,48,9,1,1,2018,10
429,1,12,9,1,1,2018,10
430,1,12,9,1,1,2018,11
431,1,34,9,1,1,2018,11
432,1,78,9,1,1,2018,11
433,1,25,9,1,1,2018,13
434,1,46,9,1,1,2018,13
435,1,81,9,1,1,2018,13
436,1,37,9,1,1,2018,15
437,1,45,9,1,1,2018,15
438,1,13,9,1,1,2018,15
439,1,1,9,1,1,2018,16
440,1,12,9,1,1,2018,17
441,1,90,9,1,1,2018,20
442,1,85,9,1,1,2018,20
443,1,89,9,1,1,2018,21
444,1,12,9,1,1,2018,22
445,1,31,9,1,1,2018,23
446,0,81,9,2,1,2018,0
447,1,12,6,2,1,2018,4
448,1,37,9,2,1,2018,7
449,0,24,9,2,1,2018,7
450,1,12,9,2,1,2018,8
451,1,12,9,2,1,2018,9
452,1,78,9,2,1,2018,9
453,1,25,9,2,1,2018,9
454,1,9,9,2,1,2018,9
455,1,34,9,2,1,2018,10
456,1,49,9,2,1,2018,10
457,1,1,9,2,1,2018,10
458,1,10,9,2,1,2018,11
459,1,13,9,2,1,2018,11
460,1,45,9,2,1,2018,11
461,1,87,9,2,1,2018,12
462,1,53,6,2,1,2018,13
463,0,58,9,2,1,2018,14
464,0,10,9,2,1,2018,14
465,1,39,9,2,1,2018,14
466,1,23,9,2,1,2018,14
467,1,47,9,2,1,2018,15
468,1,37,9,2,1,2018,15
469,1,58,9,2,1,2018,15
470,1,24,9,2,1,2018,15
471,1,85,9,2,1,2018,15
472,0,1,9,2,1,2018,17
473,1,50,9,2,1,2018,17
474,1,85,9,2,1,2018,17
475,1,1,9,2,1,2018,18
476,1,39,9,2,1,2018,19
477,1,34,13,2,1,2018,20
478,0,75,3,2,1,2018,21
479,1,45,9,2,1,2018,22
480,1,24,5,3,1,2018,3
481,1,0,6,3,1,2018,7
482,1,0,9,3,1,2018,7
483,1,45,9,3,1,2018,9
484,1,69,9,3,1,2018,9
485,1,78,9,3,1,2018,9
486,0,37,9,3,1,2018,9
487,1,63,9,3,1,2018,9
488,1,85,9,3,1,2018,10
489,1,69,9,3,1,2018,10
490,1,23,9,3,1,2018,10
491,1,51,9,3,1,2018,11
492,0,57,9,3,1,2018,11
493,1,73,9,3,1,2018,12
494,1,22,9,3,1,2018,12
495,0,12,9,3,1,2018,12
496,1,12,9,3,1,2018,12
497,0,15,9,3,1,2018,13
498,1,69,9,3,1,2018,14
499,1,12,9,3,1,2018,14
500,1,81,9,3,1,2018,15
501,1,15,13,3,1,2018,15
502,0,37,9,3,1,2018,15
503,0,92,9,3,1,2018,15
504,1,81,9,3,1,2018,15
505,1,81,9,3,1,2018,16
506,0,39,9,3,1,2018,16
507,0,69,10,3,1,2018,16
508,1,23,9,3,1,2018,16
509,1,31,9,3,1,2018,17
510,1,12,9,3,1,2018,17
511,1,13,9,3,1,2018,17
512,1,31,13,3,1,2018,18
513,0,19,9,3,1,2018,18
514,1,12,9,3,1,2018,18
515,1,24,9,3,1,2018,19
516,0,42,9,3,1,2018,20
517,0,83,9,3,1,2018,22
518,1,24,9,4,1,2018,6
519,1,45,9,4,1,2018,6
520,1,85,9,4,1,2018,7
521,1,48,9,4,1,2018,7
522,1,73,9,4,1,2018,7
523,1,50,9,4,1,2018,7
524,1,47,9,4,1,2018,8
525,1,48,9,4,1,2018,8
526,1,39,9,4,1,2018,8
527,1,49,9,4,1,2018,9
528,1,12,9,4,1,2018,9
529,1,48,9,4,1,2018,9
530,1,22,9,4,1,2018,10
531,1,79,9,4,1,2018,10
532,1,49,9,4,1,2018,11
533,1,51,9,4,1,2018,12
534,1,49,9,4,1,2018,13
535,1,12,9,4,1,2018,13
536,1,12,9,4,1,2018,14
537,1,12,9,4,1,2018,15
538,1,78,9,4,1,2018,15
539,1,49,9,4,1,2018,15
540,1,48,9,4,1,2018,16
541,1,12,9,4,1,2018,16
542,1,12,9,4,1,2018,17
543,1,58,9,4,1,2018,17
544,1,58,9,4,1,2018,18
545,0,24,9,4,1,2018,19
546,1,58,9,4,1,2018,20
547,0,66,9,4,1,2018,20
548,1,12,9,4,1,2018,23
549,1,69,9,5,1,2018,0
550,1,78,2,5,1,2018,5
551,0,74,9,5,1,2018,7
552,0,22,9,5,1,2018,9
553,1,75,9,5,1,2018,9
554,1,7,9,5,1,2018,9
555,1,66,9,5,1,2018,9
556,1,13,9,5,1,2018,9
557,1,7,9,5,1,2018,11
558,0,50,9,5,1,2018,11
559,1,36,9,5,1,2018,11
560,1,69,9,5,1,2018,12
561,1,12,9,5,1,2018,12
562,0,83,9,5,1,2018,15
563,1,9,9,5,1,2018,16
564,1,12,9,5,1,2018,16
565,0,24,9,5,1,2018,16
566,0,84,9,5,1,2018,16
567,0,57,3,5,1,2018,18
568,1,37,9,5,1,2018,19
569,0,83,9,5,1,2018,19
570,1,10,9,5,1,2018,19
571,1,13,13,5,1,2018,19
572,1,22,9,5,1,2018,19
573,1,7,9,5,1,2018,20
574,0,49,9,5,1,2018,21
575,1,25,9,5,1,2018,21
576,0,74,9,5,1,2018,22
577,0,39,9,5,1,2018,22
578,1,12,9,5,1,2018,22
579,1,83,9,5,1,2018,22
580,1,73,9,5,1,2018,22
581,1,53,9,5,1,2018,23
582,1,58,9,6,1,2018,9
583,1,17,9,6,1,2018,11
584,1,60,9,6,1,2018,11
585,1,12,9,6,1,2018,14
586,1,58,9,6,1,2018,14
587,1,78,9,6,1,2018,15
588,1,50,9,6,1,2018,17
589,1,13,9,6,1,2018,17
590,1,87,9,6,1,2018,18
591,1,58,9,6,1,2018,18
592,1,10,9,6,1,2018,20
593,1,84,2,6,1,2018,21
594,1,81,9,6,1,2018,23
595,1,12,9,0,1,2018,5
596,1,12,9,0,1,2018,6
597,1,58,9,0,1,2018,8
598,1,67,9,0,1,2018,8
599,1,85,9,0,1,2018,8
600,1,50,9,0,1,2018,9
601,1,78,9,0,1,2018,9
602,1,49,9,0,1,2018,9
603,1,35,9,0,1,2018,10
604,1,12,9,0,1,2018,10
605,1,57,9,0,1,2018,10
606,1,12,9,0,1,2018,10
607,1,12,9,0,1,2018,10
608,1,20,5,0,1,2018,10
609,1,78,9,0,1,2018,10
610,1,58,9,0,1,2018,11
611,1,34,9,0,1,2018,11
612,1,76,9,0,1,2018,12
613,1,1,9,0,1,2018,12
614,0,22,9,0,1,2018,12
615,1,39,9,0,1,2018,12
616,1,7,9,0,1,2018,12
617,1,69,9,0,1,2018,13
618,0,64,3,0,1,2018,13
619,1,78,9,0,1,2018,13
620,0,74,9,0,1,2018,13
621,1,8,9,0,1,2018,14
622,1,0,9,0,1,2018,14
623,1,34,9,0,1,2018,14
624,1,25,9,0,1,2018,14
625,1,49,9,0,1,2018,14
626,0,1,9,0,1,2018,15
627,1,46,9,0,1,2018,15
628,1,58,9,0,1,2018,15
629,1,31,9,0,1,2018,17
630,1,12,9,0,1,2018,18
631,1,54,9,0,1,2018,19
632,1,84,13,0,1,2018,19
633,1,69,9,0,1,2018,19
634,1,90,9,0,1,2018,19
635,1,45,9,0,1,2018,20
636,0,50,9,0,1,2018,20
637,0,25,9,0,1,2018,20
638,1,12,9,0,1,2018,22
639,1,12,6,1,1,2018,3
640,1,81,9,1,1,2018,6
641,1,49,9,1,1,2018,6
642,1,49,9,1,1,2018,7
643,1,74,9,1,1,2018,7
644,1,35,9,1,1,2018,7
645,1,7,9,1,1,2018,8
646,1,50,9,1,1,2018,8
647,1,46,9,1,1,2018,10
648,1,13,9,1,1,2018,11
649,1,67,9,1,1,2018,12
650,1,0,9,1,1,2018,12
651,1,39,9,1,1,2018,12
652,1,75,9,1,1,2018,12
653,1,87,9,1,1,2018,12
654,0,76,9,1,1,2018,12
655,0,13,9,1,1,2018,13
656,1,74,9,1,1,2018,13
657,1,40,9,1,1,2018,14
658,1,46,9,1,1,2018,15
659,1,39,9,1,1,2018,16
660,1,58,9,1,1,2018,16
661,1,48,9,1,1,2018,17
662,1,42,9,1,1,2018,17
663,1,75,9,1,1,2018,17
664,0,47,9,1,1,2018,18
665,1,14,9,1,1,2018,18
666,1,40,9,1,1,2018,19
667,1,58,9,1,1,2018,20
668,1,50,9,1,1,2018,23
669,1,78,9,1,1,2018,23
670,1,69,9,2,1,2018,3
671,1,49,6,2,1,2018,6
672,1,48,9,2,1,2018,7
673,1,8,9,2,1,2018,7
674,1,73,9,2,1,2018,7
675,0,75,9,2,1,2018,7
676,1,49,9,2,1,2018,7
677,1,92,9,2,1,2018,7
678,1,34,9,2,1,2018,8
679,1,81,9,2,1,2018,8
680,0,37,9,2,1,2018,8
681,0,31,9,2,1,2018,8
682,1,75,9,2,1,2018,8
683,1,24,6,2,1,2018,9
684,1,85,9,2,1,2018,9
685,0,78,10,2,1,2018,9
686,1,90,9,2,1,2018,11
687,1,1,9,2,1,2018,11
688,1,12,9,2,1,2018,11
689,1,81,9,2,1,2018,12
690,1,1,9,2,1,2018,12
691,1,73,9,2,1,2018,12
692,1,81,9,2,1,2018,13
693,1,47,9,2,1,2018,14
694,1,73,9,2,1,2018,14
